"ngram","year","frequency"
"u",2006,2.67343982289146e-05
"u",2007,2.71887973732581e-05
"u",2008,2.82413776793484e-05
"u",2009,2.97261231025914e-05
"u",2010,3.19890129633547e-05
"u",2011,3.35800063372257e-05
"u",2012,3.50222955083674e-05
"u",2013,3.72773520211922e-05
"u",2014,3.98806680875298e-05
"u",2015,4.39831029715216e-05
"u",2016,4.52306319078031e-05
"u",2017,3.92553120036609e-05
"u",2018,3.40994889224281e-05
"u",2019,2.89388585120573e-05
"u",2020,2.66525894403458e-05
"u",2021,2.22524722630624e-05
"u",2022,1.20861814139062e-05
"v",2000,9.05517972569214e-05
"v",2001,8.7175628868863e-05
"v",2002,8.45929813901118e-05
"v",2003,8.28762754930982e-05
"v",2004,8.13843060833668e-05
"v",2005,7.87468462866465e-05
"v",2006,7.52377641869576e-05
"v",2007,7.1711657385874e-05
"v",2008,6.99512893334031e-05
"v",2009,7.02822102799213e-05
"v",2010,6.94578422033893e-05
"v",2011,6.74864058964886e-05
"v",2012,6.38482529861254e-05
"v",2013,6.59872961737814e-05
"v",2014,6.74940056342166e-05
"v",2015,7.22706510194777e-05
"v",2016,7.24822109207577e-05
"v",2017,6.29385732671446e-05
"v",2018,5.42032622823691e-05
"v",2019,4.58352515124716e-05
"v",2020,4.03688245569356e-05
"v",2021,3.40524013154209e-05
"v",2022,1.88692774827359e-05
"w",2000,3.47614277416142e-05
"w",2001,3.4378328564344e-05
"w",2002,3.45915765744091e-05
"w",2003,3.43319640835814e-05
"w",2004,3.41102900815063e-05
"w",2005,3.339779712925e-05
"w",2006,3.22370802418196e-05
"w",2007,3.118227167371e-05
"w",2008,3.0243440050981e-05
"w",2009,2.93109564414148e-05
"w",2010,2.87109513530075e-05
"w",2011,2.82033005143083e-05
"w",2012,2.77575582003919e-05
"w",2013,2.8101020818992e-05
"w",2014,2.95814781046439e-05
"w",2015,3.17321563280919e-05
"w",2016,3.2532074588484e-05
"w",2017,2.84500383713748e-05
"w",2018,2.45950614043977e-05
"w",2019,2.07373507562027e-05
"w",2020,1.89882794074947e-05
"w",2021,1.52117434481625e-05
"w",2022,8.68246479512891e-06
"x",2000,9.57769134402042e-05
"x",2001,9.54963397816755e-05
"x",2002,9.54299721342977e-05
"x",2003,9.69845527184329e-05
"x",2004,9.63175947877712e-05
"x",2005,9.40329399392275e-05
"x",2006,9.31494827714882e-05
"x",2007,9.26402488922966e-05
"x",2008,9.53645015085515e-05
"x",2009,0.000102267965433254
"x",2010,0.000105446273145
"x",2011,0.00010907271851985
"x",2012,0.000113978594267142
"x",2013,0.000122343546536285
"x",2014,0.000131186122806477
"x",2015,0.000139613426914106
"x",2016,0.000141567738735051
"x",2017,0.000123201997277127
"x",2018,0.000106484725880104
"x",2019,8.99927358009986e-05
"x",2020,8.07659259104791e-05
"x",2021,6.59075012663379e-05
"x",2022,3.9275641029235e-05
"y",2000,5.12197857460706e-05
"y",2001,5.15472944243811e-05
"y",2002,5.21640067745466e-05
"y",2003,5.21964580652171e-05
"y",2004,5.2604557172994e-05
"y",2005,5.25513023603708e-05
"y",2006,5.3472210441084e-05
"y",2007,5.45909211463628e-05
"y",2008,5.68226517186434e-05
"y",2009,6.12217112835164e-05
"y",2010,6.47547073770381e-05
"y",2011,6.7061996690297e-05
"y",2012,6.98376004168365e-05
"y",2013,7.35393457164589e-05
"y",2014,7.91407271338228e-05
"y",2015,8.76598330380927e-05
"y",2016,8.82768789389437e-05
"y",2017,7.72594305869591e-05
"y",2018,6.72835968933734e-05
"y",2019,5.71978505052227e-05
"y",2020,5.32151401178756e-05
"y",2021,4.36946982517838e-05
"y",2022,2.25900766963605e-05
"z",2000,1.5279808167179e-05
"z",2001,1.52637614519335e-05
"z",2002,1.53376152714676e-05
"z",2003,1.54971112351632e-05
"z",2004,1.56831943708572e-05
"z",2005,1.56199652597674e-05
"z",2006,1.58927891139423e-05
"z",2007,1.66167157138781e-05
"z",2008,1.83884668721086e-05
"z",2009,2.02481928032025e-05
"z",2010,2.2047652756945e-05
"z",2011,2.33654185909212e-05
"z",2012,2.49556064123421e-05
"z",2013,2.69946449407144e-05
"z",2014,2.95983941863856e-05
"z",2015,3.29343838529894e-05
"z",2016,3.40960063372872e-05
"z",2017,2.99459625239251e-05
"z",2018,2.62746946516147e-05
"z",2019,2.25915812604528e-05
"z",2020,2.12291221638831e-05
"z",2021,1.75620167283341e-05
"z",2022,9.21408081921982e-06
